DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
449,19521224,   41,     ,
449,19521225,   71,     ,
449,19521226,   53,     ,
449,19521227,   12,     ,
449,19521228,   11,     ,
449,19521229,   35,     ,
449,19521230,    0,     ,
449,19521231,    0,     ,
449,19530101,   78,     ,
449,19530102,    0,     ,
449,19530103,    2,     ,
449,19530104,    0,     ,
449,19530105,    0,     ,
449,19530106,    0,     ,
449,19530107,    0,     ,
449,19530108,    0,     ,
449,19530109,   17,     ,
449,19530110,   23,     ,
449,19530111,    0,     ,
449,19530112,    1,     ,
449,19530113,    0,     ,
449,19530114,    0,     ,
449,19530115,    1,     ,
449,19530116,   12,     ,
449,19530117,    2,     ,
449,19530118,    2,     ,
449,19530119,    2,     ,
449,19530120,    1,     ,
449,19530121,    0,     ,
449,19530122,    0,     ,
449,19530123,    1,     ,
449,19530124,    0,     ,
449,19530125,    3,     ,
449,19530126,    1,     ,
449,19530127,    3,     ,
449,19530128,   11,     ,
449,19530129,    0,     ,
449,19530130,    1,     ,
449,19530131,   51,     ,
449,19530201,  150,     ,
449,19530202,   93,     ,
449,19530203,   18,     ,
449,19530204,    1,     ,
449,19530205,   33,     ,
449,19530206,   57,     ,
449,19530207,    7,     ,
449,19530208,   46,     ,
449,19530209,   90,     ,
449,19530210,   34,     ,
