Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 13/09/2013
TIME       : 11:46:27
FILENAME   : C:\Users\olivier.hoes\Desktop\maurits\CSV\c2086_130913114627_C2086.CSV
CREATED BY : SWS Diver-Office 3.2.0.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Mini-Diver=14
  Status                  =Started =0
  Serial number           =..00-C2086  214.
  Instrument number       =                    
                          =0
  Location                =c2086
  Sample period           =S30
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.0     cm
  Range                   =1750.0    cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.00    �C
  Range                   =100.00    �C


[Series settings]
  Serial number           =..00-C2086  214.
  Instrument number       =                    
  Location                =c2086
  Sample period           =00 00:00:30 0
  Sample method           =T   
  Start date / time       =00:00:08 13-09-13
  End date / time         =30:43:11 13-09-13
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.0     cm
  Range                   =1750.0    cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.00    �C
  Range                   =100.00    �C


[Data]
448
Date/time;Pressure[cm];Temperature[�C]
2013/09/13 10:09:30;1085.7;16.47
2013/09/13 10:10:00;1085.4;16.48
2013/09/13 10:10:30;1085.1;16.48
2013/09/13 10:11:00;1084.9;16.49
2013/09/13 10:11:30;1084.5;16.49
2013/09/13 10:12:00;1084.3;16.49
2013/09/13 10:12:30;1084.1;16.49
2013/09/13 10:13:00;1083.6;16.49
2013/09/13 10:13:30;1083.4;16.49
2013/09/13 10:14:00;1083.1;16.49
2013/09/13 10:14:30;1082.7;16.49
2013/09/13 10:15:00;1082.6;16.49
2013/09/13 10:15:30;1082.3;16.50
2013/09/13 10:16:00;1081.9;16.50
2013/09/13 10:16:30;1081.6;16.50
2013/09/13 10:17:00;1081.4;16.50
2013/09/13 10:17:30;1081.3;16.50
2013/09/13 10:18:00;1080.9;16.51
2013/09/13 10:18:30;1080.6;16.51
2013/09/13 10:19:00;1080.5;16.51
2013/09/13 10:19:30;1080.1;16.51
2013/09/13 10:20:00;1079.8;16.52
2013/09/13 10:20:30;1079.6;16.53
2013/09/13 10:21:00;1079.3;16.53
2013/09/13 10:21:30;1079.1;16.53
2013/09/13 10:22:00;1078.8;16.53
2013/09/13 10:22:30;1078.6;16.53
2013/09/13 10:23:00;1078.3;16.53
2013/09/13 10:23:30;1078.1;16.54
2013/09/13 10:24:00;1077.8;16.54
2013/09/13 10:24:30;1077.4;16.55
2013/09/13 10:25:00;1077.3;16.55
2013/09/13 10:25:30;1077.1;16.55
2013/09/13 10:26:00;1076.8;16.55
2013/09/13 10:26:30;1076.6;16.55
2013/09/13 10:27:00;1076.4;16.56
2013/09/13 10:27:30;1076.1;16.56
2013/09/13 10:28:00;1076.0;16.56
2013/09/13 10:28:30;1075.8;16.57
2013/09/13 10:29:00;1075.6;16.57
2013/09/13 10:29:30;1075.3;16.57
2013/09/13 10:30:00;1075.2;16.57
2013/09/13 10:30:30;1075.0;16.57
2013/09/13 10:31:00;1074.6;16.57
2013/09/13 10:31:30;1074.5;16.57
2013/09/13 10:32:00;1074.2;16.57
2013/09/13 10:32:30;1074.0;16.57
2013/09/13 10:33:00;1073.8;16.58
2013/09/13 10:33:30;1073.6;16.58
2013/09/13 10:34:00;1073.3;16.58
2013/09/13 10:34:30;1073.1;16.59
2013/09/13 10:35:00;1072.8;16.59
2013/09/13 10:35:30;1072.8;16.59
2013/09/13 10:36:00;1072.6;16.59
2013/09/13 10:36:30;1072.5;16.59
2013/09/13 10:37:00;1072.3;16.59
2013/09/13 10:37:30;1072.0;16.59
2013/09/13 10:38:00;1072.0;16.59
2013/09/13 10:38:30;1071.7;16.60
2013/09/13 10:39:00;1071.5;16.60
2013/09/13 10:39:30;1071.3;16.60
2013/09/13 10:40:00;1071.0;16.60
2013/09/13 10:40:30;1070.8;16.60
2013/09/13 10:41:00;1070.7;16.60
2013/09/13 10:41:30;1070.5;16.60
2013/09/13 10:42:00;1070.3;16.61
2013/09/13 10:42:30;1070.3;16.60
2013/09/13 10:43:00;1070.0;16.60
2013/09/13 10:43:30;1069.8;16.60
2013/09/13 10:44:00;1069.8;16.60
2013/09/13 10:44:30;1069.7;16.61
2013/09/13 10:45:00;1069.2;16.61
2013/09/13 10:45:30;1069.2;16.61
2013/09/13 10:46:00;1043.7;16.61
2013/09/13 10:46:30;1043.8;16.77
2013/09/13 10:47:00;1043.5;16.96
2013/09/13 10:47:30;1043.7;17.10
2013/09/13 10:48:00;1043.5;17.16
2013/09/13 10:48:30;1043.7;17.20
2013/09/13 10:49:00;1043.7;17.21
2013/09/13 10:49:30;1043.5;17.20
2013/09/13 10:50:00;1043.8;17.79
2013/09/13 10:50:30;1043.5;17.93
2013/09/13 10:51:00;1043.0;17.87
2013/09/13 10:51:30;1043.3;17.79
2013/09/13 10:52:00;1043.3;17.71
2013/09/13 10:52:30;1043.3;17.65
2013/09/13 10:53:00;1043.2;17.59
2013/09/13 10:53:30;1043.2;17.55
2013/09/13 10:54:00;1043.3;17.50
2013/09/13 10:54:30;1043.3;17.48
2013/09/13 10:55:00;1043.3;17.44
2013/09/13 10:55:30;1043.1;17.43
2013/09/13 10:56:00;1043.2;17.42
2013/09/13 10:56:30;1043.2;17.41
2013/09/13 10:57:00;1043.3;17.40
2013/09/13 10:57:30;1043.2;17.40
2013/09/13 10:58:00;1043.0;17.40
2013/09/13 10:58:30;1043.0;17.40
2013/09/13 10:59:00;1043.3;17.39
2013/09/13 10:59:30;1043.2;17.39
2013/09/13 11:00:00;1043.1;17.38
2013/09/13 11:00:30;1043.2;17.39
2013/09/13 11:01:00;1043.2;17.39
2013/09/13 11:01:30;1043.2;17.39
2013/09/13 11:02:00;1043.2;17.39
2013/09/13 11:02:30;1043.0;17.40
2013/09/13 11:03:00;1043.0;17.40
2013/09/13 11:03:30;1043.0;17.40
2013/09/13 11:04:00;1043.2;17.40
2013/09/13 11:04:30;1043.2;17.40
2013/09/13 11:05:00;1043.2;17.41
2013/09/13 11:05:30;1043.3;17.42
2013/09/13 11:06:00;1043.2;17.42
2013/09/13 11:06:30;1043.3;17.43
2013/09/13 11:07:00;1043.1;17.43
2013/09/13 11:07:30;1043.3;17.44
2013/09/13 11:08:00;1043.0;17.45
2013/09/13 11:08:30;1043.2;17.46
2013/09/13 11:09:00;1043.3;17.46
2013/09/13 11:09:30;1043.2;17.47
2013/09/13 11:10:00;1043.1;17.48
2013/09/13 11:10:30;1043.7;17.76
2013/09/13 11:11:00;1043.0;18.17
2013/09/13 11:11:30;1043.2;18.34
2013/09/13 11:12:00;1043.3;18.48
2013/09/13 11:12:30;1043.3;18.66
2013/09/13 11:13:00;1043.3;18.83
2013/09/13 11:13:30;1043.3;18.99
2013/09/13 11:14:00;1043.3;19.12
2013/09/13 11:14:30;1043.3;19.23
2013/09/13 11:15:00;1043.2;19.33
2013/09/13 11:15:30;1043.1;19.41
2013/09/13 11:16:00;1043.0;19.47
2013/09/13 11:16:30;1043.4;19.53
2013/09/13 11:17:00;1043.3;19.59
2013/09/13 11:17:30;1043.3;19.66
2013/09/13 11:18:00;1043.1;19.73
2013/09/13 11:18:30;1043.3;19.81
2013/09/13 11:19:00;1043.3;19.89
2013/09/13 11:19:30;1043.3;19.97
2013/09/13 11:20:00;1043.1;20.06
2013/09/13 11:20:30;1043.1;20.15
2013/09/13 11:21:00;1043.1;20.25
2013/09/13 11:21:30;1043.2;20.35
2013/09/13 11:22:00;1043.3;20.44
2013/09/13 11:22:30;1043.1;20.54
2013/09/13 11:23:00;1043.3;20.63
2013/09/13 11:23:30;1043.3;20.73
